1668902400000,0.32800000,0.33120000,0.31000000,0.31200000,87909126.70000000,1668988799999,28100507.99389000,98580,40294161.90000000,12885473.95230000,0
1668988800000,0.31200000,0.31330000,0.29530000,0.30460000,162743368.09000000,1669075199999,49635263.83234100,158825,81070174.20000000,24738669.25039000,0
1669075200000,0.30460000,0.31690000,0.29820000,0.31260000,119265124.30000000,1669161599999,36734548.01708000,119038,60981935.40000000,18799776.49252000,0
1669161600000,0.31260000,0.32040000,0.30930000,0.31850000,130172804.60000000,1669247999999,41071372.01836000,114714,66665110.80000000,21046110.18083000,0
1669248000000,0.31850000,0.32130000,0.31160000,0.31630000,77452139.60000000,1669334399999,24485083.30959000,71156,37809261.80000000,11958487.76041000,0
1669334400000,0.31620000,0.31730000,0.30730000,0.31460000,81668650.30000000,1669420799999,25530440.73286000,67451,43038388.00000000,13465568.40065000,0
1669420800000,0.31470000,0.32280000,0.31090000,0.31380000,66377188.00000000,1669507199999,21086337.98002000,67347,33557782.00000000,10664709.50387000,0
1669507200000,0.31380000,0.31960000,0.31140000,0.31260000,50910598.20000000,1669593599999,16108318.83643000,53498,25538487.60000000,8082238.36896000,0
1669593600000,0.31260000,0.31390000,0.30000000,0.30660000,118919688.10000000,1669679999999,36327273.86126000,101855,57593343.20000000,17602394.47275000,0
1669680000000,0.30660000,0.31280000,0.30420000,0.30920000,63045432.90000000,1669766399999,19488880.01456000,60043,34532956.80000000,10676903.92090000,0
1669766400000,0.30930000,0.32090000,0.30840000,0.31870000,103696273.30000000,1669852799999,32673410.81614000,98864,53367839.30000000,16824429.47226000,0
1669852800000,0.31860000,0.32000000,0.31250000,0.31450000,69894876.10000000,1669939199999,22092331.38627000,66918,34517831.40000000,10913517.75822000,0
1669939200000,0.31440000,0.32000000,0.31060000,0.31910000,62310109.40000000,1670025599999,19680755.30877000,68405,31244264.50000000,9871578.11069000,0
1670025600000,0.31920000,0.32650000,0.31620000,0.31960000,88483029.80000000,1670111999999,28444511.32980000,75652,45162198.20000000,14521168.64432000,0
1670112000000,0.31960000,0.32410000,0.31810000,0.32210000,58073868.40000000,1670198399999,18651173.88099000,54498,29052597.30000000,9332715.75797000,0
1670198400000,0.32220000,0.32900000,0.31630000,0.31930000,68934870.60000000,1670284799999,22271877.70034000,67193,32275468.20000000,10432506.64475000,0
1670284800000,0.31930000,0.32110000,0.31350000,0.31830000,54889434.10000000,1670371199999,17402842.34351000,59086,25923424.10000000,8219130.36521000,0
